experience,egg,mandible,hardhat,knight,papillosaur,startLife,hasGlove,hasGlove2,hasBomb,pitfalls,spikes,grass,whiteRock,inside,surface,finished,swordHits,bombUsage,explodeHits,thrownHits,time,dirChange,lifeLost,clangs,uselessKeys,moving,standing,percStanding,avgAggro,killEgg,killMandible,killHardhat,killKnight,free,freezed,grabbing,hurt,stairs,loading,spin,swing,tap,carry,lift,treasure,useItem,falling,backOnFeet,prediction,intention,reported
0,1,0,0,0,0,24,0,0,1,0,0,0,0,0,188,1,3,0,0,0,11,9,0,0,0,14,38,0.73076923076923,0.26923076923077,1,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1.9639269230769,1,1
0,0,1,0,0,0,24,0,0,1,0,0,0,0,0,140,1,3,0,0,0,4,3,2,0,0,3,20,0.8695652173913,0.60869565217391,0,1,0,0,1,0,0,1,0,0,0,10,0,0,0,0,0,0,0,2.2781130434783,1,2
0,0,0,1,0,0,22,0,0,1,0,0,0,0,0,96,1,3,0,0,0,11,16,4,0,0,16,38,0.7037037037037,0.46296296296296,0,0,1,0,5,0,0,2,0,0,0,12,0,0,0,0,0,0,0,2.4940703703704,1,2
0,0,0,0,1,0,18,0,0,1,0,0,0,0,0,212,1,3,0,0,0,8,6,2,1,0,19,23,0.54761904761905,0.4047619047619,0,0,0,1,1,0,0,1,0,0,0,11,0,0,0,0,0,0,0,1.9972119047619,1,2
0,2,1,0,3,0,16,0,0,1,0,0,0,0,0,248,1,18,0,0,0,24,14,2,12,0,21,100,0.82644628099174,1.3057851239669,2,1,0,3,11,0,0,3,0,1,0,58,0,0,0,0,0,0,0,3.1220181818182,5.5316026039178,6
0,1,0,0,1,0,12,0,0,1,0,0,0,0,0,336,1,6,0,0,0,20,13,4,7,0,18,82,0.82,0.6,1,0,0,1,3,0,0,2,0,0,0,31,0,0,0,0,0,0,0,2.367422,2.0255427223139,6
0,2,0,2,1,0,8,0,0,1,0,0,4,0,0,332,-1,9,0,0,0,26,23,6,0,0,26,100,0.79365079365079,0.64285714285714,1,0,2,0,15,0,0,4,0,1,0,46,0,0,0,0,0,0,0,5.3495650793651,4.0304716245978,5
0,1,4,0,1,0,24,0,0,1,0,0,0,4,0,288,1,18,0,0,0,30,11,4,1,0,20,129,0.86577181208054,0.73825503355705,1,4,0,1,8,0,0,2,0,2,0,69,0,0,0,0,0,0,0,2.9541375838926,4.0704462173653,5
0,0,2,0,2,0,22,1,0,1,0,0,0,0,0,316,1,12,0,0,0,32,54,12,18,0,37,124,0.77018633540373,0.83850931677019,0,2,0,2,13,0,0,6,0,1,0,63,0,0,0,0,0,0,0,3.5985229813665,2.0238075452674,6
0,0,3,0,3,0,10,1,0,1,0,0,0,0,0,268,1,18,0,0,0,21,17,-2,2,0,24,83,0.77570093457944,1.0560747663551,0,3,0,3,7,0,0,3,0,0,0,43,0,0,0,0,0,0,0,2.5913392523364,3.007811641688,5
0,3,0,1,1,0,12,1,0,1,0,0,4,0,0,208,-1,11,0,0,0,25,43,10,3,0,41,84,0.672,0.76,1,0,1,1,14,0,0,6,0,0,0,38,0,0,0,0,0,0,0,5.5543312,4.0490829358548,7
0,1,5,1,2,0,20,1,0,1,26,8,4,0,1,224,-1,24,0,0,0,43,53,18,24,0,66,147,0.69014084507042,1.3051643192488,1,4,1,2,18,0,0,9,0,2,0,116,0,0,0,0,0,1,1,6.8406169014085,4.0835972361077,7
0,0,2,2,3,0,24,1,0,1,18,48,0,4,1,260,1,21,0,0,0,31,21,14,41,0,20,131,0.86754966887417,2.1920529801325,0,2,2,3,15,0,0,6,0,1,0,92,0,0,0,0,0,0,1,3.7390258278146,4.3817178719368,6
0,2,4,0,2,0,14,1,0,1,14,8,0,0,1,224,1,24,0,0,0,23,11,-2,19,0,11,100,0.9009009009009,1.7477477477477,2,4,0,2,5,0,0,1,0,0,0,74,0,0,0,0,0,0,0,2.6647441441441,5.053482215704,4
